prwp_id,date,author,title,year,ssrn_downloads,ssrn_id,okr_downloads,okr_abstract_views,okr_handle,dandr_downloads,total_downloads
133,1988-11-01,Alan Gelb; John B. Knight; Richard H. Sabot,"Lewis Through a Looking Glass: Public Sector Employment, Rent-Seeking, and Economic Growth",1988,NA,NA,NA,NA,NA,462,462
134,1989-01-01,Silvia B. Sagari,International Trade in Financial Services,1989,NA,NA,NA,NA,NA,695,695
135,1990-05-01,Policy Research; Dissemination Center,PRE Working Papers Catalogs Numbers 1 to 400 Numbers 401-800 Numbers 801-1200 Numbers 1201-1400,1990,NA,NA,NA,NA,NA,718,718
136,1988-12-01,Raghuram Rajan,Pricing Commodity Bonds Using Binomial Option Pricing,1988,NA,NA,NA,NA,NA,500,500
137,1988-12-01,Sam Laird; Alexander Yeats,Trends in Nontariff Barriers of Developed Countries: 1966-86,1988,NA,NA,NA,NA,NA,790,790
138,1989-01-01,William R. Easterly,Fiscal Adjustment and Deficit Financing during the Debt Crisis,1989,NA,NA,NA,NA,NA,584,584
139,1989-01-01,Bela Balassa,A Conceptual Framework for Adjustment Policies,1989,NA,NA,NA,NA,NA,437,437
140,1989-02-01,John Middleton; James Terry; Deborah Bloch,Building Educational Evaluation Capacity in Developing Countries,1989,NA,NA,NA,NA,NA,506,506
141,1989-01-01,John Whalley; Adrian Ziderman,Payroll Taxes for Financing Training in Developing Countries,1989,NA,NA,NA,NA,NA,459,459
142,1989-01-01,Adrian Ziderman,Vocational Secondary Schooling in Israel: A Study of Labor Market  Outcomes,1989,NA,NA,NA,NA,NA,408,408
143,1989-03-01,Donald R. Winkler,Decentralization in Education: An Economic Perspective,1989,NA,NA,NA,NA,NA,4437,4437
144,1989-02-01,Jaime de Melo; Sherman Robinson,Product Differentiation and Foreign Trade in CGE Models of Small Economies,1989,NA,NA,NA,NA,NA,1805,1805
145,1989-02-01,Jaime de Melo; Julie Stanton; David Tarr,Revenue-Raising Taxes: General Equilibrium Evaluation of Alternative Taxation in U.S. Petroleum Industries,1989,NA,NA,NA,NA,NA,493,493
146,1989-02-01,Timothy Condon; Vittorio Corbo; Jaime de Melo,"Exchange Rate-Based Disinflation, Wage Rigidity, and Capital Inflows: Tradeoffs for Chile, 1977-81",1989,NA,NA,NA,NA,NA,486,486
147,1989-01-01,Izak Atiyas,"The Private Sector’s Response to Financial Liberalization in Turkey, 1980-82",1989,NA,NA,NA,NA,NA,1023,1023
148,1989-02-01,Takamasa Akiyama; Panayotis N. Varangis,Impact of the International Coffee Agreement’s Export Quota System on the World‘s Coffee Market,1989,NA,NA,NA,NA,NA,890,890
149,1989-01-01,Bela Balassa,Reflections on Perestroyka and the Foreign Economic Ties of the USSR,1989,NA,NA,NA,NA,NA,363,363
150,1989-01-01,Ken Kroner; Stijn Claessens,Improving the Currency Composition of External Debt: Applications in Indonesia and Turkey,1989,NA,NA,NA,NA,NA,468,468
151,1989-01-01,Bela Balassa,U.S. Trade Policy Towards Developing Countries,1989,NA,NA,NA,NA,NA,346,346
152,1989-01-01,Bela Balassa,Subsidies and Countervailing Measures: Economic Considerations,1989,NA,NA,NA,NA,NA,477,477
153,1989-03-01,Ishac Diwan; Stijn Claessens,An Analysis of Debt-Reduction Schemes Initiated by Debtor Countries,1989,NA,NA,NA,NA,NA,376,376
154,1989-02-01,Jock R. Anderson,"Forecasting, Uncertainty, and Public Project Appraisal",1989,NA,NA,NA,NA,NA,523,523
155,1989-04-01,Ian Timaeus; Wendy Graham,Measuring Adult Mortality in Developing Countries: A Review and Assessment of Methods,1989,NA,NA,NA,NA,NA,1108,1108
156,1989-03-01,Yoav Kislev; Zvi Lerman; Pinhas Zusman,Credit Cooperatives in Israeli Agriculture,1989,NA,NA,NA,NA,NA,505,505
157,1989-01-01,Martha de Melo; Marc Leduc; Setareh Razmara,A Policy Model for Tunisia with Real and Financial Flows,1989,NA,NA,NA,NA,NA,471,471
158,1989-02-01,Alice Galenson,Labor Redundancy in the Transport Sector,1989,NA,NA,NA,NA,NA,641,641
159,1989-03-01,Kay McKeough,Current International Gas Trades and Prices,1989,NA,NA,NA,NA,NA,1798,1798
160,1989-03-01,Mary M. Shirley,Evaluating the Performance of Public Enterprises in Pakistan,1989,23,3543805,NA,NA,NA,1141,1164
161,1989-03-01,Timothy Besley; Andrew Powell,Commodity-Indexed Debt in International Lending,1989,NA,NA,NA,NA,NA,520,520
162,1989-03-01,Miguel A. Kiguel,Inflation in Argentina: Stop and Go Since the Austral Plan,1989,NA,NA,NA,NA,NA,1071,1071
163,1989-03-01,Hans P. Binswanger; Shahidur R. Khandker; Mark R. Rosenzweig,How Infrastructure and Financial Institutions Affect Agricultural Output and Investment in India,1989,NA,NA,NA,NA,NA,5938,5938
164,1989-03-01,Patrick Honohan; Izak Atiyas,Intersectoral Financial Flows in Developing Countries,1989,NA,NA,NA,NA,NA,561,561
165,1989-03-01,Alexander J. Yeats,Shifting Patterns of Comparative Advantage: Manufactured Exports of Developing Countries,1989,NA,NA,NA,NA,NA,612,612
166,1989-03-01,Nat J. Colletta; Margaret Sutton,Achieving and Sustaining Universal Primary Education: International Experience Relevant to India,1989,NA,NA,NA,NA,NA,713,713
167,1989-03-01,Martin Ravallion,Do Price Increases for Staple Foods Help or Hurt the Rural Poor?,1989,NA,NA,NA,NA,NA,564,564
168,1989-03-01,Ashoka Mody,Technological Change from Inside: A Review of Breakthroughs!,1989,NA,NA,NA,NA,NA,396,396
169,1989-03-01,Alan Gelb; Patrick Honohan,Financial Sector Reforms in Adjustment Programs,1989,NA,NA,NA,NA,NA,631,631
170,1989-04-01,Eliakim Katz; Adrian Ziderman,General Training Under Assymetric Information,1989,NA,NA,NA,NA,NA,522,522
171,1989-03-01,Christopher Dougherty,The Cost-Effectiveness of National Training Systems in Developing Countries,1989,NA,NA,NA,NA,NA,1191,1191
172,1989-03-01,Elizabeth M. King; Rosemary T. Bellew,The Effects of Peru’s Push to Improve Education,1989,NA,NA,NA,NA,NA,645,645
173,1989-07-01,Julio Frenk; Enrique Ruelas; Avedis Donabedian,Hospital Management Staffing and Training Issues,1989,NA,NA,NA,NA,NA,2055,2055
174,1989-03-01,Ramon Lopez; Dani Rodrik,Trade Restrictions with Imported Intermediate Inputs: When Does the Trade Balance Improve?,1989,NA,NA,NA,NA,NA,533,533
175,1989-05-01,Robert D. Weaver,An Integrated Model of Perennial and Annual Crop Production for Sub-Saharan Countries,1989,NA,NA,NA,NA,NA,416,416
176,1989-05-01,Avishay Braverman; Joseph E. Stiglitz,"Credit Rationing, Tenancy, Productivity, and the Dynamics of Inequality",1989,NA,NA,NA,NA,NA,482,482
177,1989-04-01,Jack M. Mintz; Jesus Seade,Cash Flow or Income? The Choice of Base for Company Taxation,1989,NA,NA,NA,NA,NA,537,537
178,1989-04-01,Jack M. Mintz,Tax Holidays and Investment,1989,NA,NA,NA,NA,NA,581,581
179,1989-04-01,Christopher Heady,Public Sector Pricing in a Fiscal Context,1989,NA,NA,NA,NA,NA,395,395
180,1989-04-01,Boum-Jong Choe,Structural Changes in Metals Consumption,1989,NA,NA,NA,NA,NA,468,468
181,1989-04-01,Johannes F. Linn; Deborah L. Wetzel,"Public Finance, Trade, and Develop- ment: What Have We Learned?",1989,NA,NA,NA,NA,NA,482,482
182,1989-04-01,Julio Nogués,Latin America‘s Experience with Export Subsidies,1989,NA,NA,NA,NA,NA,981,981
183,1989-04-01,Alberto R. Musalem,Private Investment in Mexico: An Empirical Analysis,1989,NA,NA,NA,NA,NA,380,380
184,1989-05-01,Augusta Molnar; Gotz Schreiber,Women and Forestry: Operational Issues,1989,NA,NA,NA,NA,NA,681,681
185,1989-04-01,Stephen A. O’Connell,"Uniform Trade Taxes, Devaluation, and the Real Exchange Rate: A Theoretical Analysis",1989,NA,NA,NA,NA,NA,439,439
186,1989-04-01,Patrick A. Messerlin,The Uruguay Negotiations on Subsidies and Countervailing Measures: Past and Future Constraints,1989,NA,NA,NA,NA,NA,391,391
187,1989-04-01,Menahem Prywes,Linking Wages to Changing Output Prices: An Empirical Study of 13 Industrial Countries,1989,NA,NA,NA,NA,NA,354,354
188,1989-04-01,Luis A. Riveros,International Differences in Wage and Nonwage Labor Costs,1989,NA,NA,NA,NA,NA,1455,1455
189,1989-05-01,Emil M. Sunley,"The Treatment of Companies Under Cash Flow Taxes: Some Administrative, Transitional, and International Issues",1989,NA,NA,NA,NA,NA,533,533
190,1989-04-01,Riccardo Faini; Jaime de Melo; Abdel Senhadji-Semlali; Julie Stanton,Macro Performance Under Adjustment Lending,1989,NA,NA,NA,NA,NA,330,330
191,1989-06-01,Sebastian Edwards,"Openness, Outward Orientation, Trade Liberalization, and Economic Performance in Developing Countries",1989,NA,NA,NA,NA,NA,2029,2029
192,1989-04-01,Ajay Chhibber; Joaquin Cottani; Reza Firuzabadi; Michael Walton,"Inflation, Price Controls, and Fiscal Adjustment in Zimbabwe",1989,NA,NA,NA,NA,NA,6772,6772
193,1989-06-01,Peter Nunnenkamp,Voluntary and Involuntary Lending: A Test of Major Hypotheses,1989,NA,NA,NA,NA,NA,558,558
194,1989-05-01,Jeffrey Sachs,Efficient Debt Reduction,1989,NA,NA,NA,NA,NA,772,772
195,1989-05-01,Harry Huizinga,How Has the Debt Crisis Affected Commercial Banks?,1989,NA,NA,NA,NA,NA,550,550
196,1989-05-01,Eugene L. Versluysen,A Review of Alternative Debt Strategies,1989,NA,NA,NA,NA,NA,357,357
