pubid,prwp_id,date,author,title,year,journal,number,cites,cid,cites2003,cites2004,cites2005,cites2006,cites2007,cites2008,cites2009,cites2010,cites2011,cites2012,cites2013,cites2014,cites2015,cites2016,cites2017,cites2018,cites2019,cites2020,cites2021,cites2022
Tyk-4Ss8FVUC,4426,2007-12-01,Xavier Giné; Robert Townsend; James Vickery,Statistical Analysis of Rainfall Insurance Payouts in Southern India,2007,American Journal of Agricultural Economics,"89 (5), 1248-1254",127,1639860895324619497,,,,,1,3,7,10,10,13,8,9,12,17,5,7,13,9,3,
ULOm3_A8WrAC,6546,2013-07-01,Shawn Cole; Xavier Giné ; James Vickery,How Does Risk Management Influence Production Decisions? Evidence from a Field Experiment,2013,The Review of Financial Studies,"30 (6), 1935-1970",341,"18206034023691221720,7169940018607303516",,,,,,,,,,8,17,12,31,25,30,56,45,53,56,4
WJVC3Jt7v1AC,5748,2011-08-01,Lasse Brune ; Xavier Giné; Jessica Goldberg; Dean Yang,Commitments to Save: A Field Experiment in Rural Malawi,2011,A Field Experiment in Rural Malawi. World Bank Policy Research Working Paper …,"",3,13743420951218371856,,,,,,,,,,,,,1,0,2,,,,,
YohjEiUPhakC,8210,2017-10-01,Xavier Giné; Cristina Martínez Cuellar; Rafael Keenan Mazer,Information Disclosure and Demand Elasticity of Financial Products: Evidence from a Multi-Country Study,2017,World Bank Policy Research Working Paper,"",4,1636928271977050879,,,,,,,,,,,,,,,,,,2,2,
_kc_bZDykSQC,5458,2010-10-01,Adeline Delavande; Xavier Giné; David McKenzie,Eliciting Probabilistic Expectations with Visual Aids in Developing Countries: How Sensitive Are Answers to Variations in Elicitation Design?,2010,Journal of Applied Econometrics,"26 (3), 479-497",90,9764204577470773902,,,,,,,,3,3,5,5,6,9,12,9,6,7,12,9,1
abG-DnoFyZgC,3502,2005-02-01,Xavier Gine,Access to Capital in Rural Thailand: An Estimated Model of Formal versus Informal Credit,2005,Journal of Development Economics,"96 (1), 16-29",203,"4974919379105650831,11668592803194712770,3339321321470255283",,,5,1,5,6,8,7,8,9,20,9,11,16,22,15,17,21,18,2
buQ7SEKw-1sC,4985,2009-07-01,Xavier Giné; Dean Karlan; Jonathan Zinman;,Put Your Money Where Your Butt Is: A Commitment Contract for Smoking Cessation,2009,ACR North American Advances,"",3,16497142631476373335,,,,,,,3,,,,,,,,,,,,,
d1gkVwhDpl0C,4408,2007-11-01,Xavier Gine; Robert Townsend ; James Vickery ;,Patterns of Rainfall Insurance Participation in Rural India,2007,The World Bank Economic Review,"22 (3), 539-566",691,6106277414530185003,,,,,6,7,16,36,42,57,55,50,63,65,68,63,56,58,39,3
edDO8Oi4QzsC,5808,2011-09-01,Jordi de la Torre; Xavier Giné; Tara Vishwanath,After the Microfinance Crisis: Assessing the Role of Government-Led Microcredit Alternatives,2011,"","",0,,,,,,,,,,,,,,,,,,,,,
f2IySw72cVMC,3959,2006-07-01,Xavier Giné; Pamela Jakiela; Dean Karlan; Jonathan Morduch,Microfinance Games,2006,American Economic Journal: Applied Economics,"2 (3), 60-95",364,"1206871799053717281,520896310646473033",,,,5,7,10,14,19,22,31,40,34,28,35,20,28,29,18,23,1
fFSKOagxvKUC,6902,2014-06-01,Xavier Giné; Cristina Martínez Cuellar; Rafael Keenan Mazer;,Financial (Dis-)Information: Evidence from an Audit Study in Mexico,2014,World Bank Policy Research Working Paper,"",46,"9216958943108998604,884897580645223478",,,,,,,,,,,1,3,2,5,13,4,8,7,2,
nRpfm8aw39MC,9713,2021-06-01,Ram Fishman; Xavier Giné; Hanan G. Jacoby,Efficient Irrigation and Water Conservation: Evidence from South India,2021,"World Bank, Washington, DC","",1,13479868763663368863,,,,,,,,,,,,,,,,,,,1,
roLk4NBRz8UC,4477,2008-01-01,Nava Ashraf; Xavier Giné; Dean Karlan,Finding Missing Markets (and a Disturbing Epilogue): Evidence from an Export Crop Adoption and Marketing Intervention in Kenya,2008,American Journal of Agricultural Economics,"91 (4), 973-990",297,"1409009180433647916,3327232004416503784",,,,1,1,3,2,12,16,9,24,26,19,24,21,22,39,41,31,3
tH6gc1N1XXoC,9133,2020-01-01,Erhan Artuc; Robert Cull; Susmita Dasgupta; Roberto Fattal; Deon Filmer; Xavier Giné; Hanan Jacoby; Dean Jolliffe; Hiau Looi Kee; Leora Klapper; Aart Kraay; Norman Loayza; David McKenzie; Berk Özler; Vijayendra Rao; Bob Rijkers; Sergio Schmukler; Michael Toman; Adam Wagstaff; and Michael Woolcock,Toward Successful Development Policies: Insights from Research in Development Economics,2020,"","",9,18055979548808034366,,,,,,,,,,,,,,,,,,2,6,1
u-coK7KVo8oC,9013,2019-09-01,Xavier Giné; Shreena Patel; Bernardo Ribeiro; Ildrim Valley,Targeting Inputs: Experimental Evidence from Tanzania,2019,World Bank Policy Research Working Paper,"",7,3619559803539778962,,,,,,,,,,,,,,,,1,3,2,1,
u-x6o8ySG0sC,4425,2007-12-01,Xavier Giné; Dean Yang;,"Insurance, Credit, and Technology Adoption: Field Experimental Evidence from Malawi",2007,Journal of development Economics,"89 (1), 1-11",778,2193491132562941167,,,,,,6,15,35,47,58,58,53,64,81,69,71,72,79,54,9
uWQEDVKXjbEC,6959,2014-06-01,Xavier Giné; Ghazala Mansuri,Money or Ideas? A Field Experiment on Constraints to Entrepreneurship in Rural Pakistan,2014,A Field Experiment on Constraints to Entrepreneurship in Rural Pakistan …,"",200,8904610638286948919,,,,,,,,,,,10,25,26,18,21,20,26,19,22,3
ubry08Y2EpUC,9449,2020-10-01,Richard Chamboko; Robert Cull; Xavier Giné; Soren Heitmann; Fabian Reitzug; Morne Van Der Westhuizen,The Role of Gender in Agent Banking: Evidence from the Democratic Republic of Congo,2020,World Development,"146, 105551",3,15030878696237957502,,,,,,,,,,,,,,,,,,1,2,
KbBQZpvPDL4C,5438,2010-10-01,Xavier Giné; Jessica Goldberg; Dean Yang,Identification Strategy: A Field Experiment on Dynamic Incentives in Rural Credit Markets∗,2010,A field experiment on dynamic incentives in rural credit markets,"",1,9811068640673368735,,,,,,,,,,,,,,,,,1,,,
,7694,2016-06-01,Xavier Gine; Hanan G. Jacoby,"Markets, Contracts, and Uncertainty in a Groundwater Economy",2016,,,,,,,,,,,,,,,,,,,,,,,,
,7807,2016-08-01,Lasse Brune; Xavier Giné; Jessica Goldberg; Dean Yang,Savings Defaults and Payment Delays for Cash Transfers: Field Experimental Evidence from Malawi,2016,,,,,,,,,,,,,,,,,,,,,,,,
2osOgNQ5qMEC,3014,2003-04-01,Xavier Giné; Robert M. Townsend,Evaluation of Financial Liberalization: A General Equilibrium Model with Constrained Occupation Choice,2003,Journal of development Economics,"74 (2), 269-307",302,917802389181496058,4,5,4,7,9,14,9,15,20,17,20,17,16,24,24,17,23,24,25,1
fQNAKQ3IYiAC,7109,2014-11-01,Xavier Giné; Martin Kanz,The Economic Effects of a Borrower Bailout: Evidence from an Emerging Market,2014,The Review of Financial Studies,"31 (5), 1752-1783",53,"2034572999988825604,3207250402469461459,13718089332690783879",,,,,,,,,,,,1,2,2,2,8,7,18,12,1
