upi,first_name,last_name,main,unit,scholar_id,title,author,journal,number,cites,year,cid,pubid
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Does trade stimulate product quality upgrading?,"AM Fernandes, C Paunov",Canadian Journal of Economics/Revue canadienne d'économique,"46 (4), 1232-1264",149,2013,"14723824664898747689,12563772157132795468,8453465133961963624",EBV337fEn3EC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,International economic activities and skilled labour demand: evidence from Brazil and China,"P Fajnzylber, AM Fernandes",Applied Economics,"41 (5), 563-577",139,2009,"8445400709582016994,7859854119443320575,5725874004815412337",YsMSGLbcyi4C
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Exporting services: A developing country perspective,"AG Goswami, A Mattoo, S Sáez",World Bank Publications,,112,2012,6459641190715889591,pRWBApOjXDcC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Structure and performance of the service sector in transition economies,AM Fernandes,Economics of Transition,"17 (3), 467-501",108,2009,18440420182046354267,WF5omc3nYNoC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,The Intensive Margin in Trade,"AM Fernandes, PJ Klenow, S Meleshchuk, MD Pierola, ...",NBER Working Paper No.,25195,89,2018,"15546829807744933792,15099140613685104698",N6_Y7JlWxwsC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,The risks of innovation: Are innovating firms less likely to die?,"AM Fernandes, C Paunov",Review of Economics and Statistics,"97 (3), 638-653",88,2015,18201916158163730957,gV6rEsy15s0C
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Growth and regional integration,"S Ahmed, E Ghani",SOUTH ASIA growth and regional integration,,87,2007,6233473389527963794,4QKQTXcH0q8C
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Are the benefits of export support durable? Evidence from Tunisia,"O Cadot, AM Fernandes, J Gourdon, A Mattoo",Journal of International Economics,"97 (2), 310-324",79,2015,"15608157862274617227,17469587796130375581,6691566489139509631",IWHjjKOFINEC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Evaluating aid for trade: A survey of recent studies,"O Cadot, A Fernandes, J Gourdon, A Mattoo, J Melo",The World Economy,"37 (4), 516-529",66,2014,"1750784980551518871,2936847431455756303,1223271882099909445,5712619213682692168",DQNrXyjhriIC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Technology adoption and the investment climate: firm-level evidence for Eastern Europe and Central Asia,"PG Correa, AM Fernandes, CJ Uregian",The World Bank Economic Review,"24 (1), 121-147",65,2010,3743542866879394415,_FxGoFyzp5QC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Product Standards and Firms’ Export Decisions,"AM Fernandes, E Ferro, W John S",The World Bank Economic Review,"33 (2), 353–374",53,2019,9770082587112794640,i91s68tWr-MC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Trade Effects of Customs Reform: Evidence from Albania,"AM Fernandes, RH Hillberry, A Mendoza Alcantara",The World Bank Economic Review,,46,2019,"10963996688465905566,15754361662799286598",_mQi-xiA4oYC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,The Internet and Chinese Exports in the Pre-Alibaba Era,"AM Fernandes, A Mattoo, H Nguyen, M Schiffbauer",Journal of Development Economics,"138, 57-76",46,2019,14780950090164768390,oldoQiaHq2UC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Factor utilization in indian manufacturing: A look at the world bank investment climate surveys data,"AM Fernandes, A Pakes",National Bureau of Economic Research,,42,2008,"12740073971001562784,11476297291144691684,2799362434546024526",zYLM7Y9cAGgC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Discrimination in hiring based on potential and realized fertility: Evidence from a large-scale field experiment,"SO Becker, A Fernandes, D Weichselbaumer",Labour Economics,"59, 139-152",39,2019,5731760727287064087,nOiSByfp82kC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Role of Imports for Exporter Performance in Peru,"MD Pierola, AM Fernandes, T Farole",The World Economy,"41 (2), 550–572",36,2018,8884445805435313789,kO05sadLmrgC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,"Property rights institutions, contracting institutions, and growth in South Asia: Macro and Micro Evidence","AM Fernandez, A Kraay",The World Bank. Background paper prepared for the SAARC Business Leaders …,,34,2005,13480979619112229417,WIXB4To3Tx4C
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Learning from the experiments that never happened: Lessons from trying to conduct randomized evaluations of matching grant programs in Africa,"F Campos, A Coville, AM Fernandes, M Goldstein, D McKenzie",Journal of the Japanese and International Economies,"33, 4-24",33,2014,"9196956107403301137,11869591957311344863",QIV2ME_5wuYC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Microdynamics of Turkey's Export Boom in the 2000s,"T Cebeci, AM Fernandes",The World Economy,"38 (5), 825-855",32,2015,11606959408992266572,w2UhwfzvF0QC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Together We Stand? Agglomeration in Indian Manufacturing,"AM Fernandes, G Sharma",World Bank Policy Research Working Paper,,30,2012,"3123202430971653600,3337703352032462708",UebtZRa9Y70C
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,The risks of innovation: are innovating firms less likely to die?,"AM Fernandes, C Paunov",World Bank Policy Research Working Paper,,23,2012,6863650003759287214,BCdnXsLIVDwC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,"Software Adoption, Employment Composition, and the Skill Content of Occupations in Chilean Firms","R Almeida, AM Fernandes, M Viollaz",Journal of Development Studies,,22,2018,"3746994136882719973,15633562402266581666",5LPo_wSKItgC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Job insecurity and children’s emancipation: The Italian puzzle,"SO Becker, S Bentolila, A Fernandes, A Ichino","ESSLE CEPR-IZA meeting, Ammersee",,22,2002,14545771832818619264,hEXC_dOfxuUC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Explaining local manufacturing growth in Chile: the advantages of sectoral diversity,"R Almeida, AM Fernandes",Applied Economics,"45 (16), 2201-2213",17,2013,"4966163520317932612,16090615294258559496",Tfl4UtY-dJUC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Services FDI and manufacturing productivity growth: There is a link,"AM Fernandes, C Paunov",Policy Research Working Paper Series,4730,17,2008,17510867604207883973,ZysSsiWj_g4C
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Export entrepreneurship and trade structure in Latin America during good and bad times,"A Fernandes, D Lederman, M Gutierrez-Rocha",World Bank Policy Research Working Paper,,15,2013,13444961413438754379,L8Ckcad2t8MC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Where to spend the next million? Applying impact evaluation to trade assistance,"O Cadot, AM Fernandes, J Gourdon, A Mattoo",London: Centre for Economic Policy Research and the World Bank,,15,2011,12926746272731619591,sgsej9ZJWHMC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Inhibitors of the renin–angiotensin–aldosterone system and COVID-19 in critically ill elderly patients,"C Jung, RR Bruno, B Wernly, M Joannidis, S Oeyen, T Zafeiridis, B Marsh, ...",European Heart Journal-Cardiovascular Pharmacotherapy,"7 (1), 76-77",13,2021,4333394886374816895,HKviVsUxM5wC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Determinants of Global Value Chain Participation: Cross-Country Evidence,"AM Fernandes, HL Kee, DE Winkler",World Bank Policy Research Working Paper,,13,2020,15863310886656986931,oynPyU19kbsC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Impact evaluation of trade assistance: Paving the way,"O Cadot, AM Fernandes, J Gourdon, A Mattoo",Where to spend the next million,,13,2011,"11698772156887375433,5141525650871755916,14314493575026365379,6374363966041655213",tBlTYpvFGQIC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Reform and Regional Integration of Professional Services in East Africa,"N Dihel, AM Fernandes, A Mattoo, N Strychacz",Economic Premise,,13,2010,1280118841584861124,Se3iqnhoufwC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Are Trade Preferences a Panacea? The African Growth and Opportunity Act and African Exports,"AM Fernandes, A Forero, H Maemir, A Mattoo",World Bank Policy Research Working Paper,,12,2019,17009058776286731872,VnuxuLaQPLMC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Professional services and development: A study of Mozambique,"A Fernandes, A Mattoo",World Bank Policy Research Working Paper No.,4870,12,2009,13782803910747303385,roLk4NBRz8UC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Becoming a global exporter of business services? The case of Kenya,"N Dihel, AM Fernandes, R Gicho, J Kashangaki, N Strychacz",Exporting SERVICES,237,11,2012,"15743502575352257080,13299843627458764455",DquSII9TDu4C
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,"Altruism, labor supply and redistributive neutrality",A Fernandes,Journal of population economics,"24 (4), 1443-1469",11,2011,4346742209618684260,tgTmbKTkO1IC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Can Kenya Become a Global Exporter of Business Services?,"N Dihel, AM Fernandes, R Gicho, J Kashangaki, N Strychacz",Africa Trade Policy Note,,8,2011,6236185274082805883,ojlX30-wUrgC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Does Better Information Curb Customs Fraud?,"C Chalendard, A Duhaut, AM Fernandes, A Mattoo, G Raballand, ...",CESifo Working Paper,,7,2020,1793744121014903125,LWqeokA2EBkC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Expediting Trade: Impact Evaluation of an In-House Clearance Program,"AM Fernandes, R Hillberry, CN Berg",The World Bank,,7,2016,"8541504230326480930,1721329157846870440",Nufq_to8ts0C
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Towards a regional integration of professional services in Southern Africa,"N Dihel, AM Fernandes, A Mattoo",Africa Trade Policy Note,10,7,2010,"14938006567184518915,9063668702238328766",AFmTUeZ1pmEC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Gender differences in wage expectations,"A Fernandes, M Huber, G Vaccaro",Plos one,"16 (6), e0250892",6,2021,13750901653261864830,vjZqxyZ7hS4C
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,‘The Intensive Margin in Trade: How Big and How Important?,"AM Fernandes, PJ Klenow, S Meleshchuk, MD Pierola, ...",Unpublished manuscript,,6,2019,14910442657785174946,vD2iS2Kej30C
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,"Exporter behavior, country size and stage of development","AM Fernandes, C Freund, MD Pierola","World Bank, Washington, DC",,6,2015,4752307181688348899,MGPUR4WVBMEC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Customs reform and performance contracts: Early results from Madagascar,"GJRF Raballand, CR Chalendard, AM Fernandes, A Mattoo, B Rijkers",The World Bank,,5,2017,12427694401962146109,wkm4DBaukwsC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Does the Adoption of Complex Software Impact Employment Composition and the Skill Content of Occupations?,"RK Almeida, AM Fernandes, M Viollaz","World Bank, Washington, DC",,5,2017,12300156674225519926,It0W0vAlS5QC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,"Determinants of Clusters in Indian Manufacturing: The Role of Infrastructure, Governance, Education, and Industrial PolicyV","A Fernandes, G Sharma",IGC working paper,,5,2012,6601844447560441469,T8_be82Iz5gC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,An evaluation of Tunisia’s export promotion program,"O Cadot, A Fernandes, J Gourdon, A Mattoo","IGC-DECTI Workshop, The World Bank",14,5,2011,8313211859127724982,_IsBomjs8bsC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,DEVELOPING PROFESSIONAL SERVICES IN AFRICA THROUGH REGIONAL INTEGRATION,"N Dihel, AM Fernandes, A Mattoo, P Brenton, G Isik",,,5,2010,15032445642466596858,XtJa11BXPS4C
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Understanding the operations of freight forwarders: evidence from Serbia,"A Mendoza Alcantara, AM Fernandes, RH Hillberry",World Bank Policy Research Working Paper,,4,2015,12884917418447930695,rFyVMFCKTwsC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,The risks of innovation,"AM Fernandes, C Paunov",MIT Press,,4,2015,5768794222802495330,u0Mu_IsstPMC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Openness and technological innovations in developng countries,"R Almeida, AM Fernandes","World bank, Development research group, Growth a. investment team",,4,2006,4822058764042086531,NU-BerS4NX4C
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Product Standards: Do they affect Firms’ Export Decisions?,"AM Fernandes, E Ferro, JS Wilson","trade and International Integration Unit, Development Research Group, World …",,3,2014,8140363129042696541,XeErXHja3Z8C
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Finance and Competition,"H Dellas, A Fernandes",The Economic Journal,"124 (575), 269-288",3,2014,6293918955855664407,rpSJNIKeXWsC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Learning from the Experiments that Never Happened,"F Campos, A Coville, AM Fernandes, M Goldstein, D McKenzie",Policy Research Working Paper,6296,3,2012,7236605098743658668,5VjbC5aozO0C
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Are the benefits of export support durable,"O Cadot, A Fernandes, J Gourdon, A Mattoo, E Dourille-Feer, J Martin, ...",Evidence from Tunisia. World Bank Policy Research Working Paper,",(6295)",3,2012,13289722248100187858,Gb6Hms-Uo9kC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Parental Job Insecurity and Children's Emancipation: The Italian Puzzle,"A Ichino, S Bentolila, SO Becker, A Fernandes","mimeo, EUI",,3,2002,12231875697491939936,J4E9jCG1tHUC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,"9 COMPARING PROPERTY RIGHTS INSTITUTIONS, CONTRACTING INSTITUTIONS, AND GROWTH IN SOUTH ASIA AND EAST ASIA",AM Fernandes,Accelerating Growth and Job Creation in South Asia,24,3,9,18435233085634625008,0EnyYjriUFMC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Technology (Ab) use and Corruption in Customs,"C Chalendard, AM Fernandes, G Raballand, B Rijkers",Unpublished Manuscript,,2,2020,5388482034325342287,NZNkWSpQBv0C
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Collusion in Customs: Evidence from Madagascar,"B Rijkers, C Chalendard, A Fernandes, A Mattoo, G Raballand",World Bank mimeo,,2,2018,12158804519341822288,GHsHDPAyICYC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Fertility discrimination in hiring? Evidence from a field experiment,"SO Becker, A Fernandes, D Weichselbaumer",,2018 Meeting Papers,2,2018,5343845898348087615,Cvh0bltMcLgC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,The internet and Chinese exports in the pre-Alibaba era,"AM Fernandes, A Mattoo, HL Nguyen, MT Schiffbauer",World Bank Policy Research Working Paper,,2,2017,8909614349995604311,I9gX6wnfuA8C
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Proofs for ‘Job Insecurity and Youth Emancipation: A Theoretical Approach’,"S Becker, S Bentolila, A Fernandes, A Ichino",,,2,2005,793356672967570213,urP0JZOBBUsC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,"Learning by Doing, Learning by Exporting, and Productivity: Evidence from Colombia","AE Isgut, AM Fernandes",Banco Mundial,,2,2005,11469222094633120085,AFXcoJnoRH0C
