handle,citation,dsoid,abstract_views,downloads,scraping_date
10986/33605,"Maliszewska, Maryla; Mattoo, Aaditya; van der Mensbrugghe, Dominique. 2020. The Potential Impact of COVID-19 on GDP and Trade : A Preliminary Assessment. Policy Research Working Paper;No. 9211. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/33605 License: CC BY 3.0 IGO.”",64785,57657.0,20089.0,11/15/2021 13:22:47
10986/4027,"Moral-Benito, Enrique. 2009. Determinants of Economic Growth : A Bayesian Panel Data Approach. Policy Research working paper ; no. WPS 4830. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4027 License: CC BY 3.0 IGO.”",3899,1106.0,19149.0,11/15/2021 13:22:51
10986/29672,"Psacharopoulos, George; Patrinos, Harry Anthony. 2018. Returns to Investment in Education : A Decennial Review of the Global Literature. Policy Research Working Paper;No. 8402. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/29672 License: CC BY 3.0 IGO.”",53727,18592.0,18398.0,11/15/2021 13:22:56
10986/8210,"Bott, Sarah; Morrison, Andrew; Ellsberg, Mary. 2005. Preventing and Responding to Gender-Based Violence in Middle and Low-Income Countries : A Global Review and Analysis. Policy Research Working Paper; No. 3618. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/8210 License: CC BY 3.0 IGO.”",9090,4972.0,17618.0,11/15/2021 13:23:00
10986/21865,"Demirguc-Kunt, Asli; Klapper, Leora; Singer, Dorothe; Van Oudheusden, Peter. 2015. The Global Findex Database 2014 : Measuring Financial Inclusion around the World. Policy Research Working Paper;No. 7255. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/21865 License: CC BY 3.0 IGO.”",26512,3619.0,16356.0,11/15/2021 13:23:03
10986/3797,"Pinto, Brian; Ulatov, Sergei. 2010. Financial Globalization and the Russian Crisis of 1998. Policy Research working paper ; no. WPS 5312. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/3797 License: CC BY 3.0 IGO.”",3669,981.0,16532.0,11/15/2021 13:23:05
10986/8319,"Kuijs, Louis. 2005. Investment and Saving in China. Policy Research Working Paper; No. 3633. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/8319 License: CC BY 3.0 IGO.”",9064,1999.0,16945.0,11/15/2021 13:23:11
10986/3334,"Ravallion, Martin. 2011. The Two Poverty Enlightenments : Historical Insights from Digitized Books Spanning Three Centuries. Policy Research working paper ; no. WPS 5549. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/3334 License: CC BY 3.0 IGO.”",3206,581.0,14754.0,11/15/2021 13:23:13
10986/6368,"Lopez, J. Humberto; Perry, Guillermo. 2008. Inequality in Latin America : Determinants and Consequences. Policy Research Working Paper; No. 4504. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/6368 License: CC BY 3.0 IGO.”",6717,4885.0,17780.0,11/15/2021 13:23:18
10986/4244,"Sauvant, Karl P.. 2009. FDI Protectionism Is on the Rise. Policy Research working paper ; no. WPS 5052. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4244 License: CC BY 3.0 IGO.”",4116,1296.0,14159.0,11/15/2021 13:23:24
10986/9322,"Xu, Lisa; Zia, Bilal. 2012. Financial Literacy around the World : An Overview of the Evidence with Practical Suggestions for the Way Forward. Policy Research Working Paper; No. 6107. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/9322 License: CC BY 3.0 IGO.”",9557,4818.0,14467.0,11/15/2021 14:38:01
10986/6675,"Ferreira, Francisco H.G.; Ravallion, Martin. 2008. Global Poverty and Inequality : A Review of the Evidence. Policy Research Working Paper No. 4623. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/6675 License: CC BY 3.0 IGO.”",6838,4095.0,14914.0,11/15/2021 14:38:04
10986/12117,"Milanovic, Branko. 2012. Global Income Inequality by the Numbers : In History and Now. Policy Research Working Paper; No. 6259. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/12117 License: CC BY 3.0 IGO.”",12239,11881.0,13676.0,11/15/2021 14:38:05
10986/3769,"Gereffi, Gary; Frederick, Stacey. 2010. The Global Apparel Value Chain, Trade and the Crisis : Challenges and Opportunities for Developing Countries. Policy Research Working Paper ; No. 5281. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/3769 License: CC BY 3.0 IGO.”",3641,2901.0,15461.0,11/15/2021 14:38:06
10986/18346,"Doemeland, Doerte; Trevino, James. 2014. Which World Bank Reports Are Widely Read?. Policy Research Working Paper;No. 6851. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/18346 License: CC BY 3.0 IGO.”",20529,3431.0,12068.0,11/15/2021 14:38:07
10986/8602,"Baker, Judy; Basu, Rakhi; Cropper, Maureen; Lall, Somik; Takeuchi, Akie. 2005. Urban Poverty and Transport : The Case of Mumbai. Policy Research Working Paper; No. 3693. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/8602 License: CC BY 3.0 IGO.”",9134,3882.0,11811.0,11/15/2021 14:38:09
10986/4010,"Kudo, Ines; Bazan, Jorge. 2009. Measuring Beginner Reading Skills : An Empirical Evaluation of Alternative Instruments and their Potential Use for Policymaking and Accountability in Peru. Policy Research working paper ; no. WPS 4812. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4010 License: CC BY 3.0 IGO.”",3882,571.0,11914.0,11/15/2021 14:38:10
10986/6820,"Mitchell, Donald. 2008. A Note on Rising Food Prices. Policy Research Working Paper No. 4682. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/6820 License: CC BY 3.0 IGO.”",6904,5413.0,14377.0,11/15/2021 14:38:11
10986/4171,"Wang, Limin; Kanji, Shireen; Bandyopadhyay, Sushenjit. 2009. The Health Impact of Extreme Weather Events in Sub-Saharan Africa. Policy Research working paper ; no. WPS 4979. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4171 License: CC BY 3.0 IGO.”",4043,654.0,11268.0,11/15/2021 14:38:13
10986/15895,"Akyeampong, Emmanuel; Fofack, Hippolyte. 2013. The Contribution of African Women to Economic Growth and Development in Post-Colonial Africa : Historical Perspectives and Policy Implications. Policy Research Working Paper;No. 6537. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/15895 License: CC BY 3.0 IGO.”",16825,13776.0,11646.0,11/15/2021 14:38:14
10986/4162,"Hochrainer, Stefan. 2009. Assessing the Macroeconomic Impacts of Natural Disasters : Are there Any?. Policy Research working paper ; no. WPS 4968. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4162 License: CC BY 3.0 IGO.”",4034,1465.0,12209.0,11/15/2021 14:40:04
10986/16045,"Im, Fernando Gabriel; Rosenblatt, David. 2013. Middle-Income Traps : A Conceptual and Empirical Survey. Policy Research Working Paper;No. 6594. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/16045 License: CC BY 3.0 IGO.”",16881,3902.0,11392.0,11/15/2021 14:40:05
10986/7174,"Dasgupta, Susmita; Laplante, Benoit; Meisner, Craig; Wheeler, David; Yan, Jianping. 2007. The Impact of Sea Level Rise on Developing Countries : A Comparative Analysis. Policy Research Working Paper; No. 4136. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/7174 License: CC BY 3.0 IGO.”",7018,7549.0,12441.0,11/15/2021 14:40:06
10986/14319,"Klapper, Leora F.; Love, Inessa. 2002. Corporate Governance, Investor            Protection, and Performance in Emerging Markets. Policy Research Working Paper;No.2818. World Bank, Washington, D.C.. © World Bank. https://openknowledge.worldbank.org/handle/10986/14319 License: CC BY 3.0 IGO.”",16068,2825.0,11779.0,11/15/2021 14:40:08
10986/4295,"Mu, Ren; van de Walle, Dominique. 2009. Left Behind to Farm? Women’s Labor Re-Allocation in Rural China. Policy Research working paper ; no. WPS 5107. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4295 License: CC BY 3.0 IGO.”",4167,805.0,19506.0,11/15/2021 14:40:09
10986/3913,"Kaufmann, Daniel; Kraay, Aart; Mastruzzi, Massimo. 2010. The Worldwide Governance Indicators : Methodology and Analytical Issues. Policy Research working paper ; no. WPS 5430. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/3913 License: CC BY 3.0 IGO.”",3785,7530.0,12855.0,11/15/2021 14:40:10
10986/24159,"Sanghi, Apurva; Johnson, Dylan. 2016. Deal or No Deal : Strictly Business for China in Kenya?. Policy Research Working Paper;No. 7614. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/24159 License: CC BY 3.0 IGO.”",32772,1452.0,10449.0,11/15/2021 14:40:12
10986/9261,"Claessens, Stijn. 2006. Current Challenges in Financial Regulation. Policy Research Working Paper; No. 4103. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/9261 License: CC BY 3.0 IGO.”",8901,4628.0,10447.0,11/15/2021 14:40:13
10986/4029,"Ferre, Celine. 2009. Age at First Child Does Education Delay Fertility Timing? The Case of Kenya. Policy Research working paper ; no. WPS 4833. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4029 License: CC BY 3.0 IGO.”",3901,1047.0,11146.0,11/15/2021 14:40:14
10986/4265,"Das Gupta, Monica; Desikachari, B.R.; Somanathan, T.V.; Padmanaban, P.. 2009. How to Improve Public Health Systems : Lessons from Tamil Nadu. Policy Research working paper ; no. WPS 5073. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4265 License: CC BY 3.0 IGO.”",4137,941.0,10827.0,11/15/2021 14:40:16
10986/16935,"Lakner, Christoph; Milanovic, Branko. 2013. Global Income Distribution : From the Fall of the Berlin Wall to the Great Recession. Policy Research Working Paper;No. 6719. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/16935 License: CC BY 3.0 IGO.”",18241,10556.0,9987.0,11/15/2021 14:41:44
10986/8856,"Alsop, Ruth; Heinsohn, Nina. 2005. Measuring Empowerment in Practice : Structuring Analysis and Framing Indicators. Policy Research Working Paper; No. 3510. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/8856 License: CC BY 3.0 IGO.”",8958,7648.0,10262.0,11/15/2021 14:41:46
10986/34626,"Apedo-Amah, Marie Christine; Avdiu, Besart; Cirera, Xavier; Cruz, Marcio; Davies, Elwyn; Grover, Arti; Iacovone, Leonardo; Kilinc, Umut; Medvedev, Denis; Maduko, Franklin Okechukwu; Poupakis, Stavros; Torres, Jesica; Tran, Trang Thu. 2020. Unmasking the Impact of COVID-19 on Businesses : Firm Level Evidence from Across the World. Policy Research Working Paper;No. 9434. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/34626 License: CC BY 3.0 IGO.”",68231,15060.0,13249.0,11/15/2021 14:41:47
10986/4043,"Rogers, F. Halsey; Vegas, Emiliana. 2009. No More Cutting Class? Reducing Teacher Absence and ProvidingIncentives for Performance. Policy Research working paper ; no. WPS 4847. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4043 License: CC BY 3.0 IGO.”",3915,999.0,9575.0,11/15/2021 14:41:49
10986/12031,"Čihák, Martin; Demirgüç-Kunt, Aslı; Feyen, Erik; Levine, Ross. 2012. Benchmarking Financial Systems around the World. Policy Research Working Paper; No. 6175. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/12031 License: CC BY 3.0 IGO.”",12154,2610.0,9640.0,11/15/2021 14:41:51
10986/23622,"Battaile, William; Hernández, F. Leonardo; Norambuena, Vivian. 2015. Debt Sustainability in Sub-Saharan Africa : Unraveling Country-Specific Risks. Policy Research Working Paper;No. 7523. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/23622 License: CC BY 3.0 IGO.”",30857,1676.0,9072.0,11/15/2021 14:41:52
10986/18131,"Ayyagari, Meghana; Beck, Thorsten; Demirguc-Kunt, Asli. 2003. Small and Medium Enterprises across the Globe : A New Database. Policy Research Working Paper;No. 3127. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/18131 License: CC BY 3.0 IGO.”",19928,6244.0,10181.0,11/15/2021 14:41:53
10986/6544,"Jimenez, Emmanuel; Patrinos, Harry Anthony. 2008. Can Cost-Benefit Analysis Guide Education Policy in Developing Countries?. Policy Research Working Paper; No. 4568. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/6544 License: CC BY 3.0 IGO.”",6781,3101.0,9904.0,11/15/2021 14:41:54
10986/34369,"Demirguc-Kunt, Asli; Pedraza, Alvaro; Ruiz-Ortega, Claudia. 2020. Banking Sector Performance During the COVID-19 Crisis. Policy Research Working Paper;No. 9363. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/34369 License: CC BY 3.0 IGO.”",67467,19889.0,9484.0,11/15/2021 14:41:55
10986/7451,"Kenny, Charles. 2007. Construction, Corruption, and Developing Countries. Policy Research Working Paper; No. 4271. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/7451 License: CC BY 3.0 IGO.”",7152,4360.0,9048.0,11/15/2021 14:41:57
10986/4013,"Ravallion, Martin. 2009. The developing world's bulging            (but vulnerable) ""middle class"". Policy Research working paper ; no. WPS 4816. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4013 License: CC BY 3.0 IGO.”",3885,846.0,9690.0,11/15/2021 15:21:19
10986/6336,"Lin, Justin Yifu; Wang, Yan. 2008. China's Integration with the World : Development as a Process of Learning and Industrial Upgrading. Policy Research Working Paper; No. 4799. Washington, DC:  World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/6336 License: CC BY 3.0 IGO.”",6666,1046.0,8677.0,11/15/2021 15:21:20
10986/22448,"Feyen, Erik; Ghosh, Swati; Kibuuka, Katie; Farazi, Subika. 2015. Global Liquidity and External Bond Issuance in Emerging Markets and Developing Economies. Policy Research Working Paper;No. 7363. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/22448 License: CC BY 3.0 IGO.”",27698,877.0,8075.0,11/15/2021 15:21:21
10986/7447,"Björkman, Martina; Svensson, Jakob. 2007. Power to the People : Evidence from a Randomized Field Experiment of a Community-Based Monitoring Project in Uganda. Policy Research Working Paper; No. 4268. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/7447 License: CC BY 3.0 IGO.”",7149,2224.0,8757.0,11/15/2021 15:21:23
10986/20345,"Kostka, Genia. 2014. Barriers to the Implementation of Environmental Policies at the Local Level in China. Policy Research Working Paper;No. 7016. World Bank Group, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20345 License: CC BY 3.0 IGO.”",23579,3129.0,8162.0,11/15/2021 15:21:24
10986/20697,"Ahmed, S. Amer; Cruz, Marcio; Go, Delfin S.; Maliszewska, Maryla; Osorio-Rodarte, Israel. 2014. How Significant is Africa's Demographic Dividend for Its Future Growth and Poverty Reduction?. Policy Research Working Paper;No. 7134. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20697 License: CC BY 3.0 IGO.”",24946,2822.0,8066.0,11/15/2021 15:21:26
10986/7404,"Dollar, David. 2007. Poverty, Inequality, and Social Disparities During China's Economic Reform. Policy Research Working Paper; No. 4253. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/7404 License: CC BY 3.0 IGO.”",7134,4114.0,8319.0,11/15/2021 15:21:27
10986/19208,"Demombynes, Gabriel; Ozler, Berk. 2002. Crime and Local Inequality in South Africa. Policy Research Working Paper;No. 2925. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/19208 License: CC BY 3.0 IGO.”",20301,725.0,7744.0,11/15/2021 15:21:29
10986/23481,"Verwimp, Philip; Maystadt, Jean-Francois. 2015. Forced Displacement and Refugees in Sub-Saharan Africa : An Economic Inquiry. Policy Research Working Paper;No. 7517. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/23481 License: CC BY 3.0 IGO.”",30189,2167.0,7792.0,11/15/2021 15:21:30
10986/7185,"Haddad, Mona. 2007. Trade Integration in East Asia : The Role of China and Production Networks. Policy Research Working Paper; No. 4160. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/7185 License: CC BY 3.0 IGO.”",7040,1172.0,7833.0,11/15/2021 15:21:31
10986/23923,"Fink, Carsten; Maskus, Keith E.; Qian, Yi. 2016. The Economic Effects of Counterfeiting and Piracy : A Review and Implications for Developing Countries. Policy Research Working Paper;No. 7586. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/23923 License: CC BY 3.0 IGO.”",32164,1201.0,7607.0,11/15/2021 15:22:33
10986/21642,"Evans, David K.; Popova, Anna. 2015. What Really Works to Improve Learning in Developing Countries? : An Analysis of Divergent Findings in Systematic Reviews. Policy Research Working Paper;No. 7203. World Bank Group, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/21642 License: CC BY 3.0 IGO.”",26055,1187.0,7283.0,11/15/2021 15:22:34
10986/3612,"Timilsina, Govinda R.; Kurdgelashvili, Lado; Narbel, Patrick A.. 2011. A Review of Solar Energy : Markets, Economics and Policies. Paper is funded by the Knowledge for Change            Program (KCP),Policy Research working paper ; no. WPS 5845. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/3612 License: CC BY 3.0 IGO.”",3484,9363.0,8381.0,11/15/2021 15:22:36
10986/6443,"Demirgüç-Kunt, Asli; Levine, Ross. 2008. Finance, Financial Sector Policies, and Long-Run Growth. Policy Research Working Paper; No. 4469. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/6443 License: CC BY 3.0 IGO.”",6687,1543.0,7656.0,11/15/2021 15:22:37
10986/3793,"Aksoy, M. Ataman; Ng, Francis. 2010. The Evolution of Agricultural Trade Flows. Policy Research working paper ; no. WPS 5308. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/3793 License: CC BY 3.0 IGO.”",3665,726.0,7367.0,11/15/2021 15:22:39
10986/3991,"Hallegatte, Stephane; Przyluski, Valentin. 2010. The Economics of Natural Disasters : Concepts and Methods. Policy Research working paper ; no. WPS 5507. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/3991 License: CC BY 3.0 IGO.”",3863,2660.0,11153.0,11/15/2021 15:22:41
10986/26479,"Demirguc-Kunt, Asli; Klapper, Leora; Singer, Dorothe. 2017. Financial Inclusion and Inclusive Growth : A Review of Recent Empirical Evidence. Policy Research Working Paper;No. 8040. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/26479 License: CC BY 3.0 IGO.”",41317,6122.0,7391.0,11/15/2021 15:22:42
10986/4018,"Wagstaff, Adam. 2009. Social Health Insurance vs. Tax-Financed Health Systems—Evidence from the OECD. Policy Research working paper ; no. WPS 4821. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4018 License: CC BY 3.0 IGO.”",3890,854.0,7655.0,11/15/2021 15:22:44
10986/3799,"Freund, Caroline; Ornelas, Emanuel. 2010. Regional Trade Agreements. Policy Research working paper ; no. WPS 5314. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/3799 License: CC BY 3.0 IGO.”",3671,1306.0,10694.0,11/15/2021 15:22:45
10986/18853,"Collier, Paul; Hoeffler, Anke. 2000. Greed and Grievance in Civil War. Policy Research Working Paper;No. 2355. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/18853 License: CC BY 3.0 IGO.”",21401,5537.0,8952.0,11/15/2021 16:05:53
10986/13887,"Oostendorp, Remco H.. 2004. Globalization and the Gender Wage Gap. Policy Research Working Paper;No. 3256. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/13887 License: CC BY 3.0 IGO.”",16174,3434.0,7261.0,11/15/2021 16:05:54
10986/8506,"Wagstaff, Adam; Lindelow, Magnus. 2005. Can Insurance Increase Financial Risk? The Curious Case of Health Insurance in China. Policy Research Working Paper; No. 3741. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/8506 License: CC BY 3.0 IGO.”",9178,656.0,7578.0,11/15/2021 16:05:56
10986/3732,"Bamberger, Michael; Rao, Vijayendra; Woolcock, Michael. 2010. Using Mixed Methods in Monitoring and Evaluation : Experiences from International Development. Policy Research working paper ; no. WPS 5245. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/3732 License: CC BY 3.0 IGO.”",3604,4000.0,7158.0,11/15/2021 16:05:58
10986/4342,"Kose, M. Ayhan; Prasad, Eswar S.; Taylor, Ashley D.. 2009. Thresholds in the Process of International Financial Integration. Policy Research working paper ; no. WPS 5149. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4342 License: CC BY 3.0 IGO.”",4214,468.0,6918.0,11/15/2021 16:07:59
10986/4006,"Gorodnichenko, Yuriy; Svejnar, Jan; Terrell, Katherine. 2009. Globalization and Innovation in Emerging Markets. Policy Research working paper ; no. WPS 4808. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4006 License: CC BY 3.0 IGO.”",3878,861.0,6904.0,11/15/2021 16:08:00
10986/34592,"Li, Shanjun; Xing, Jianwei; Yang, Lin; Zhang, Fan. 2020. Transportation and the Environment : A Review of Empirical Literature. Policy Research Working Paper;No. 9421. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/34592 License: CC BY 3.0 IGO.”",68043,942.0,6469.0,11/15/2021 16:08:02
10986/8782,"Pack, Howard; Saggi, Kamal. 2006. The Case for Industrial Policy : A Critical Survey. Policy Research Working Paper; No. 3839. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/8782 License: CC BY 3.0 IGO.”",8643,729.0,7778.0,11/15/2021 16:08:04
10986/12159,"Čihák, Martin; Demirgüç-Kunt, Aslı; Pería, María Soledad Martinez; Mohseni-Cheraghlou, Amin. 2012. Bank Regulation and Supervision around the World : A Crisis Update. Policy Research Working Paper; No. 6286. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/12159 License: CC BY 3.0 IGO.”",13317,2163.0,6730.0,11/15/2021 16:08:05
10986/9283,"Mirza, Daniel; Verdier, Thierry. 2006. Are Lives a Substitute for Livelihoods? Terrorism, Security, and U.S. Bilateral Imports. Policy Research Working Paper; No. 4094. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/9283 License: CC BY 3.0 IGO.”",8893,410.0,6458.0,11/15/2021 16:08:07
10986/3439,"Keefer, Philip. 2011. Collective Action, Political Parties and Pro-Development Public Policy. Policy Research working paper ; no. WPS 5676. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/3439 License: CC BY 3.0 IGO.”",3311,598.0,6638.0,11/15/2021 16:08:09
10986/8317,"Chomitz, Kenneth M.; Buys, Piet; Thomas, Timothy S.. 2005. Quantifying the Rural-Urban Gradient in Latin America and the Caribbean. Policy Research Working Paper; No. 3634. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/8317 License: CC BY 3.0 IGO.”",9065,697.0,6428.0,11/15/2021 16:08:11
10986/28365,"Skoufias, Emmanuel; Strobl, Eric; Tveit, Thomas. 2017. Natural Disaster Damage Indices Based on Remotely Sensed Data : An Application to Indonesia. Policy Research Working Paper;No. 8188. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/28365 License: CC BY 3.0 IGO.”",44749,752.0,6274.0,11/15/2021 16:08:13
10986/16912,"Otker-Robe, Inci; Podpiera, Anca Maria. 2013. The Social Impact of Financial Crises: Evidence from the Global Financial Crisis. Policy Research Working Paper;No. 6703. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/16912 License: CC BY 3.0 IGO.”",18224,16599.0,6284.0,11/15/2021 16:08:14
